Issue Type,Issue key,Summary,Fix versions,Fix versions,Status,Resolution,Type,Liability/Asset,PM,Planned?,Delivered,Type
Bug,US-2691,"setting DirtyVisibility & DirtyOpacity also sets DirtyBoundingBox, but the bounding box does not rely on visibility or opacity information",5.7.0,,Closed,Fixed,,L,Yes,,y,Issues Fixed during Development
Bug,US-2693,"setting DirtyMesh also sets DirtyWorldTransform, but the world transform does not rely on mesh information",5.7.0,,Closed,Fixed,,L,Yes,,y,Issues Fixed during Development
Technical Story,US-7967,CYITextSceneNode::SetFontStyle is unused in the engine,5.7.0,,Closed,Fixed,,L,No,,y,In Market Issue
Story,US-8205,See exported AE Shape Animations,5.7.0,,Closed,Done,,A,No,,y,Engineering Work
Spike,US-9100,Investigate various logging libraries as potential replacements to the youiengine logger,5.7.0,,Closed,Done,,A,No,,y,Engineering Work
Bug,US-9467,Timeline animations can 'miss' the last frame,5.7.0,,Closed,Fixed,,A,No,,y,Engineering Work
Bug,US-9799,Talkback enabled -> unable to focus within app [AndroidTV],5.7.0,,Closed,Fixed,SAE,L,No,,y,SAE
Story,US-9910,Add bgFX support to iOS and tvOS,5.7.0,,Closed,Fixed,,A,Yes,,y,PM Work
,US-10514,"Backport: As a player developer, I want to access the native player error codes",,,,,SAO NRE,A,,n,y,SAO NRE
,US-10513,Backport: websocket-sub-protocols,,,,,SAO NRE,A,,n,y,SAO NRE
,US-10509,Support inline base64 images in URIs in Core,,,,,SAO,A,,n,y,SAO
,US-10503,Use highly reduced external icu.dat file on bluesky,,,,,SAO,A,,n,y,SAO
,BS-427,Switch to ICU dat file for Bluesky platform,,,,,SAO,A,,n,y,SAO
